strategy,compute_mode,tier,parameterisation,cost_mult,sample_mult,usd_scaled
GRID,CORENEURON_GPU,RTX 4090,tight,0.5,0.5,6.562500000000001e+22
GRID,CORENEURON_GPU,RTX 4090,tight,0.5,1.0,1.3125000000000002e+23
GRID,CORENEURON_GPU,RTX 4090,tight,0.5,2.0,2.6250000000000005e+23
GRID,CORENEURON_GPU,RTX 4090,tight,1.0,0.5,1.3125000000000002e+23
GRID,CORENEURON_GPU,RTX 4090,tight,1.0,1.0,2.6250000000000005e+23
GRID,CORENEURON_GPU,RTX 4090,tight,1.0,2.0,5.250000000000001e+23
GRID,CORENEURON_GPU,RTX 4090,tight,2.0,0.5,2.6250000000000005e+23
GRID,CORENEURON_GPU,RTX 4090,tight,2.0,1.0,5.250000000000001e+23
GRID,CORENEURON_GPU,RTX 4090,tight,2.0,2.0,1.0500000000000002e+24
GRID,CORENEURON_GPU,A100 40GB,tight,0.5,0.5,1.2833333333333335e+23
GRID,CORENEURON_GPU,A100 40GB,tight,0.5,1.0,2.566666666666667e+23
GRID,CORENEURON_GPU,A100 40GB,tight,0.5,2.0,5.133333333333334e+23
GRID,CORENEURON_GPU,A100 40GB,tight,1.0,0.5,2.566666666666667e+23
GRID,CORENEURON_GPU,A100 40GB,tight,1.0,1.0,5.133333333333334e+23
GRID,CORENEURON_GPU,A100 40GB,tight,1.0,2.0,1.0266666666666668e+24
GRID,CORENEURON_GPU,A100 40GB,tight,2.0,0.5,5.133333333333334e+23
GRID,CORENEURON_GPU,A100 40GB,tight,2.0,1.0,1.0266666666666668e+24
GRID,CORENEURON_GPU,A100 40GB,tight,2.0,2.0,2.0533333333333335e+24
GRID,CORENEURON_GPU,H100,tight,0.5,0.5,1.7500000000000004e+23
GRID,CORENEURON_GPU,H100,tight,0.5,1.0,3.500000000000001e+23
GRID,CORENEURON_GPU,H100,tight,0.5,2.0,7.000000000000002e+23
GRID,CORENEURON_GPU,H100,tight,1.0,0.5,3.500000000000001e+23
GRID,CORENEURON_GPU,H100,tight,1.0,1.0,7.000000000000002e+23
GRID,CORENEURON_GPU,H100,tight,1.0,2.0,1.4000000000000004e+24
GRID,CORENEURON_GPU,H100,tight,2.0,0.5,7.000000000000002e+23
GRID,CORENEURON_GPU,H100,tight,2.0,1.0,1.4000000000000004e+24
GRID,CORENEURON_GPU,H100,tight,2.0,2.0,2.8000000000000007e+24
GRID,SURROGATE_NN_GPU,RTX 4090,tight,0.5,0.5,1.6625000000000001e+21
GRID,SURROGATE_NN_GPU,RTX 4090,tight,0.5,1.0,3.3250000000000003e+21
GRID,SURROGATE_NN_GPU,RTX 4090,tight,0.5,2.0,6.650000000000001e+21
GRID,SURROGATE_NN_GPU,RTX 4090,tight,1.0,0.5,3.3250000000000003e+21
GRID,SURROGATE_NN_GPU,RTX 4090,tight,1.0,1.0,6.650000000000001e+21
GRID,SURROGATE_NN_GPU,RTX 4090,tight,1.0,2.0,1.3300000000000001e+22
GRID,SURROGATE_NN_GPU,RTX 4090,tight,2.0,0.5,6.650000000000001e+21
GRID,SURROGATE_NN_GPU,RTX 4090,tight,2.0,1.0,1.3300000000000001e+22
GRID,SURROGATE_NN_GPU,RTX 4090,tight,2.0,2.0,2.6600000000000002e+22
GRID,SURROGATE_NN_GPU,A100 40GB,tight,0.5,0.5,3.6575000000000007e+21
GRID,SURROGATE_NN_GPU,A100 40GB,tight,0.5,1.0,7.315000000000001e+21
GRID,SURROGATE_NN_GPU,A100 40GB,tight,0.5,2.0,1.4630000000000003e+22
GRID,SURROGATE_NN_GPU,A100 40GB,tight,1.0,0.5,7.315000000000001e+21
GRID,SURROGATE_NN_GPU,A100 40GB,tight,1.0,1.0,1.4630000000000003e+22
GRID,SURROGATE_NN_GPU,A100 40GB,tight,1.0,2.0,2.9260000000000005e+22
GRID,SURROGATE_NN_GPU,A100 40GB,tight,2.0,0.5,1.4630000000000003e+22
GRID,SURROGATE_NN_GPU,A100 40GB,tight,2.0,1.0,2.9260000000000005e+22
GRID,SURROGATE_NN_GPU,A100 40GB,tight,2.0,2.0,5.852000000000001e+22
GRID,SURROGATE_NN_GPU,H100,tight,0.5,0.5,8.312500000000001e+21
GRID,SURROGATE_NN_GPU,H100,tight,0.5,1.0,1.6625000000000002e+22
GRID,SURROGATE_NN_GPU,H100,tight,0.5,2.0,3.3250000000000004e+22
GRID,SURROGATE_NN_GPU,H100,tight,1.0,0.5,1.6625000000000002e+22
GRID,SURROGATE_NN_GPU,H100,tight,1.0,1.0,3.3250000000000004e+22
GRID,SURROGATE_NN_GPU,H100,tight,1.0,2.0,6.650000000000001e+22
GRID,SURROGATE_NN_GPU,H100,tight,2.0,0.5,3.3250000000000004e+22
GRID,SURROGATE_NN_GPU,H100,tight,2.0,1.0,6.650000000000001e+22
GRID,SURROGATE_NN_GPU,H100,tight,2.0,2.0,1.3300000000000001e+23
GRID,MANY_CORE_CPU,CPU-96,tight,0.5,0.5,4.3750000000000013e+21
GRID,MANY_CORE_CPU,CPU-96,tight,0.5,1.0,8.750000000000003e+21
GRID,MANY_CORE_CPU,CPU-96,tight,0.5,2.0,1.7500000000000005e+22
GRID,MANY_CORE_CPU,CPU-96,tight,1.0,0.5,8.750000000000003e+21
GRID,MANY_CORE_CPU,CPU-96,tight,1.0,1.0,1.7500000000000005e+22
GRID,MANY_CORE_CPU,CPU-96,tight,1.0,2.0,3.500000000000001e+22
GRID,MANY_CORE_CPU,CPU-96,tight,2.0,0.5,1.7500000000000005e+22
GRID,MANY_CORE_CPU,CPU-96,tight,2.0,1.0,3.500000000000001e+22
GRID,MANY_CORE_CPU,CPU-96,tight,2.0,2.0,7.000000000000002e+22
RANDOM,CORENEURON_GPU,RTX 4090,tight,0.5,0.5,13.12
RANDOM,CORENEURON_GPU,RTX 4090,tight,0.5,1.0,26.25
RANDOM,CORENEURON_GPU,RTX 4090,tight,0.5,2.0,52.5
RANDOM,CORENEURON_GPU,RTX 4090,tight,1.0,0.5,26.25
RANDOM,CORENEURON_GPU,RTX 4090,tight,1.0,1.0,52.5
RANDOM,CORENEURON_GPU,RTX 4090,tight,1.0,2.0,105.0
RANDOM,CORENEURON_GPU,RTX 4090,tight,2.0,0.5,52.5
RANDOM,CORENEURON_GPU,RTX 4090,tight,2.0,1.0,105.0
RANDOM,CORENEURON_GPU,RTX 4090,tight,2.0,2.0,210.0
RANDOM,CORENEURON_GPU,A100 40GB,tight,0.5,0.5,25.67
RANDOM,CORENEURON_GPU,A100 40GB,tight,0.5,1.0,51.33
RANDOM,CORENEURON_GPU,A100 40GB,tight,0.5,2.0,102.67
RANDOM,CORENEURON_GPU,A100 40GB,tight,1.0,0.5,51.33
RANDOM,CORENEURON_GPU,A100 40GB,tight,1.0,1.0,102.67
RANDOM,CORENEURON_GPU,A100 40GB,tight,1.0,2.0,205.33
RANDOM,CORENEURON_GPU,A100 40GB,tight,2.0,0.5,102.67
RANDOM,CORENEURON_GPU,A100 40GB,tight,2.0,1.0,205.33
RANDOM,CORENEURON_GPU,A100 40GB,tight,2.0,2.0,410.67
RANDOM,CORENEURON_GPU,H100,tight,0.5,0.5,35.0
RANDOM,CORENEURON_GPU,H100,tight,0.5,1.0,70.0
RANDOM,CORENEURON_GPU,H100,tight,0.5,2.0,140.0
RANDOM,CORENEURON_GPU,H100,tight,1.0,0.5,70.0
RANDOM,CORENEURON_GPU,H100,tight,1.0,1.0,140.0
RANDOM,CORENEURON_GPU,H100,tight,1.0,2.0,280.0
RANDOM,CORENEURON_GPU,H100,tight,2.0,0.5,140.0
RANDOM,CORENEURON_GPU,H100,tight,2.0,1.0,280.0
RANDOM,CORENEURON_GPU,H100,tight,2.0,2.0,560.0
RANDOM,SURROGATE_NN_GPU,RTX 4090,tight,0.5,0.5,20.78
RANDOM,SURROGATE_NN_GPU,RTX 4090,tight,0.5,1.0,20.78
RANDOM,SURROGATE_NN_GPU,RTX 4090,tight,0.5,2.0,20.78
RANDOM,SURROGATE_NN_GPU,RTX 4090,tight,1.0,0.5,41.56
RANDOM,SURROGATE_NN_GPU,RTX 4090,tight,1.0,1.0,41.56
RANDOM,SURROGATE_NN_GPU,RTX 4090,tight,1.0,2.0,41.56
RANDOM,SURROGATE_NN_GPU,RTX 4090,tight,2.0,0.5,83.12
RANDOM,SURROGATE_NN_GPU,RTX 4090,tight,2.0,1.0,83.12
RANDOM,SURROGATE_NN_GPU,RTX 4090,tight,2.0,2.0,83.12
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,0.5,0.5,40.64
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,0.5,1.0,40.64
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,0.5,2.0,40.64
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,1.0,0.5,81.28
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,1.0,1.0,81.28
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,1.0,2.0,81.28
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,2.0,0.5,162.56
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,2.0,1.0,162.56
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,2.0,2.0,162.56
RANDOM,SURROGATE_NN_GPU,H100,tight,0.5,0.5,55.42
RANDOM,SURROGATE_NN_GPU,H100,tight,0.5,1.0,55.42
RANDOM,SURROGATE_NN_GPU,H100,tight,0.5,2.0,55.42
RANDOM,SURROGATE_NN_GPU,H100,tight,1.0,0.5,110.83
RANDOM,SURROGATE_NN_GPU,H100,tight,1.0,1.0,110.83
RANDOM,SURROGATE_NN_GPU,H100,tight,1.0,2.0,110.83
RANDOM,SURROGATE_NN_GPU,H100,tight,2.0,0.5,221.67
RANDOM,SURROGATE_NN_GPU,H100,tight,2.0,1.0,221.67
RANDOM,SURROGATE_NN_GPU,H100,tight,2.0,2.0,221.67
RANDOM,MANY_CORE_CPU,CPU-96,tight,0.5,0.5,0.88
RANDOM,MANY_CORE_CPU,CPU-96,tight,0.5,1.0,1.75
RANDOM,MANY_CORE_CPU,CPU-96,tight,0.5,2.0,3.5
RANDOM,MANY_CORE_CPU,CPU-96,tight,1.0,0.5,1.75
RANDOM,MANY_CORE_CPU,CPU-96,tight,1.0,1.0,3.5
RANDOM,MANY_CORE_CPU,CPU-96,tight,1.0,2.0,7.0
RANDOM,MANY_CORE_CPU,CPU-96,tight,2.0,0.5,3.5
RANDOM,MANY_CORE_CPU,CPU-96,tight,2.0,1.0,7.0
RANDOM,MANY_CORE_CPU,CPU-96,tight,2.0,2.0,14.0
CMA_ES,CORENEURON_GPU,RTX 4090,tight,0.5,0.5,8.53
CMA_ES,CORENEURON_GPU,RTX 4090,tight,0.5,1.0,17.06
CMA_ES,CORENEURON_GPU,RTX 4090,tight,0.5,2.0,34.12
CMA_ES,CORENEURON_GPU,RTX 4090,tight,1.0,0.5,17.06
CMA_ES,CORENEURON_GPU,RTX 4090,tight,1.0,1.0,34.12
CMA_ES,CORENEURON_GPU,RTX 4090,tight,1.0,2.0,68.25
CMA_ES,CORENEURON_GPU,RTX 4090,tight,2.0,0.5,34.12
CMA_ES,CORENEURON_GPU,RTX 4090,tight,2.0,1.0,68.25
CMA_ES,CORENEURON_GPU,RTX 4090,tight,2.0,2.0,136.5
CMA_ES,CORENEURON_GPU,A100 40GB,tight,0.5,0.5,16.68
CMA_ES,CORENEURON_GPU,A100 40GB,tight,0.5,1.0,33.37
CMA_ES,CORENEURON_GPU,A100 40GB,tight,0.5,2.0,66.73
CMA_ES,CORENEURON_GPU,A100 40GB,tight,1.0,0.5,33.37
CMA_ES,CORENEURON_GPU,A100 40GB,tight,1.0,1.0,66.73
CMA_ES,CORENEURON_GPU,A100 40GB,tight,1.0,2.0,133.47
CMA_ES,CORENEURON_GPU,A100 40GB,tight,2.0,0.5,66.73
CMA_ES,CORENEURON_GPU,A100 40GB,tight,2.0,1.0,133.47
CMA_ES,CORENEURON_GPU,A100 40GB,tight,2.0,2.0,266.93
CMA_ES,CORENEURON_GPU,H100,tight,0.5,0.5,22.75
CMA_ES,CORENEURON_GPU,H100,tight,0.5,1.0,45.5
CMA_ES,CORENEURON_GPU,H100,tight,0.5,2.0,91.0
CMA_ES,CORENEURON_GPU,H100,tight,1.0,0.5,45.5
CMA_ES,CORENEURON_GPU,H100,tight,1.0,1.0,91.0
CMA_ES,CORENEURON_GPU,H100,tight,1.0,2.0,182.0
CMA_ES,CORENEURON_GPU,H100,tight,2.0,0.5,91.0
CMA_ES,CORENEURON_GPU,H100,tight,2.0,1.0,182.0
CMA_ES,CORENEURON_GPU,H100,tight,2.0,2.0,364.0
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,0.5,0.5,20.78
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,0.5,1.0,20.78
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,0.5,2.0,20.78
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,1.0,0.5,41.56
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,1.0,1.0,41.56
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,1.0,2.0,41.56
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,2.0,0.5,83.12
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,2.0,1.0,83.12
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,2.0,2.0,83.12
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,0.5,0.5,40.64
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,0.5,1.0,40.64
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,0.5,2.0,40.64
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,1.0,0.5,81.28
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,1.0,1.0,81.28
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,1.0,2.0,81.28
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,2.0,0.5,162.56
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,2.0,1.0,162.56
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,2.0,2.0,162.56
CMA_ES,SURROGATE_NN_GPU,H100,tight,0.5,0.5,55.42
CMA_ES,SURROGATE_NN_GPU,H100,tight,0.5,1.0,55.42
CMA_ES,SURROGATE_NN_GPU,H100,tight,0.5,2.0,55.42
CMA_ES,SURROGATE_NN_GPU,H100,tight,1.0,0.5,110.83
CMA_ES,SURROGATE_NN_GPU,H100,tight,1.0,1.0,110.83
CMA_ES,SURROGATE_NN_GPU,H100,tight,1.0,2.0,110.83
CMA_ES,SURROGATE_NN_GPU,H100,tight,2.0,0.5,221.67
CMA_ES,SURROGATE_NN_GPU,H100,tight,2.0,1.0,221.67
CMA_ES,SURROGATE_NN_GPU,H100,tight,2.0,2.0,221.67
CMA_ES,MANY_CORE_CPU,CPU-96,tight,0.5,0.5,0.57
CMA_ES,MANY_CORE_CPU,CPU-96,tight,0.5,1.0,1.14
CMA_ES,MANY_CORE_CPU,CPU-96,tight,0.5,2.0,2.28
CMA_ES,MANY_CORE_CPU,CPU-96,tight,1.0,0.5,1.14
CMA_ES,MANY_CORE_CPU,CPU-96,tight,1.0,1.0,2.28
CMA_ES,MANY_CORE_CPU,CPU-96,tight,1.0,2.0,4.55
CMA_ES,MANY_CORE_CPU,CPU-96,tight,2.0,0.5,2.28
CMA_ES,MANY_CORE_CPU,CPU-96,tight,2.0,1.0,4.55
CMA_ES,MANY_CORE_CPU,CPU-96,tight,2.0,2.0,9.1
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,0.5,0.5,3.28
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,0.5,1.0,6.56
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,0.5,2.0,13.12
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,1.0,0.5,6.56
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,1.0,1.0,13.12
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,1.0,2.0,26.25
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,2.0,0.5,13.12
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,2.0,1.0,26.25
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,2.0,2.0,52.5
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,0.5,0.5,6.42
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,0.5,1.0,12.83
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,0.5,2.0,25.67
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,1.0,0.5,12.83
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,1.0,1.0,25.67
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,1.0,2.0,51.33
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,2.0,0.5,25.67
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,2.0,1.0,51.33
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,2.0,2.0,102.67
BAYESIAN,CORENEURON_GPU,H100,tight,0.5,0.5,8.75
BAYESIAN,CORENEURON_GPU,H100,tight,0.5,1.0,17.5
BAYESIAN,CORENEURON_GPU,H100,tight,0.5,2.0,35.0
BAYESIAN,CORENEURON_GPU,H100,tight,1.0,0.5,17.5
BAYESIAN,CORENEURON_GPU,H100,tight,1.0,1.0,35.0
BAYESIAN,CORENEURON_GPU,H100,tight,1.0,2.0,70.0
BAYESIAN,CORENEURON_GPU,H100,tight,2.0,0.5,35.0
BAYESIAN,CORENEURON_GPU,H100,tight,2.0,1.0,70.0
BAYESIAN,CORENEURON_GPU,H100,tight,2.0,2.0,140.0
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,0.5,0.5,20.78
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,0.5,1.0,20.78
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,0.5,2.0,20.78
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,1.0,0.5,41.56
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,1.0,1.0,41.56
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,1.0,2.0,41.56
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,2.0,0.5,83.12
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,2.0,1.0,83.12
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,2.0,2.0,83.12
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,0.5,0.5,40.64
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,0.5,1.0,40.64
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,0.5,2.0,40.64
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,1.0,0.5,81.28
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,1.0,1.0,81.28
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,1.0,2.0,81.28
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,2.0,0.5,162.56
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,2.0,1.0,162.56
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,2.0,2.0,162.56
BAYESIAN,SURROGATE_NN_GPU,H100,tight,0.5,0.5,55.42
BAYESIAN,SURROGATE_NN_GPU,H100,tight,0.5,1.0,55.42
BAYESIAN,SURROGATE_NN_GPU,H100,tight,0.5,2.0,55.42
BAYESIAN,SURROGATE_NN_GPU,H100,tight,1.0,0.5,110.83
BAYESIAN,SURROGATE_NN_GPU,H100,tight,1.0,1.0,110.83
BAYESIAN,SURROGATE_NN_GPU,H100,tight,1.0,2.0,110.83
BAYESIAN,SURROGATE_NN_GPU,H100,tight,2.0,0.5,221.67
BAYESIAN,SURROGATE_NN_GPU,H100,tight,2.0,1.0,221.67
BAYESIAN,SURROGATE_NN_GPU,H100,tight,2.0,2.0,221.67
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,0.5,0.5,0.21
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,0.5,1.0,0.44
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,0.5,2.0,0.88
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,1.0,0.5,0.42
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,1.0,1.0,0.88
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,1.0,2.0,1.75
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,2.0,0.5,0.83
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,2.0,1.0,1.75
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,2.0,2.0,3.5
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,0.5,0.5,121.41
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,0.5,1.0,242.81
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,0.5,2.0,485.62
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,1.0,0.5,242.81
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,1.0,1.0,485.62
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,1.0,2.0,971.25
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,2.0,0.5,485.62
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,2.0,1.0,971.25
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,2.0,2.0,1942.5
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,0.5,0.5,237.42
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,0.5,1.0,474.83
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,0.5,2.0,949.67
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,1.0,0.5,474.83
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,1.0,1.0,949.67
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,1.0,2.0,1899.33
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,2.0,0.5,949.67
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,2.0,1.0,1899.33
SURROGATE_NN_GA,CORENEURON_GPU,A100 40GB,tight,2.0,2.0,3798.67
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,0.5,0.5,323.75
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,0.5,1.0,647.5
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,0.5,2.0,1295.0
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,1.0,0.5,647.5
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,1.0,1.0,1295.0
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,1.0,2.0,2590.0
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,2.0,0.5,1295.0
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,2.0,1.0,2590.0
SURROGATE_NN_GA,CORENEURON_GPU,H100,tight,2.0,2.0,5180.0
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,0.5,0.5,23.03
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,0.5,1.0,25.27
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,0.5,2.0,29.76
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,1.0,0.5,46.05
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,1.0,1.0,50.54
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,1.0,2.0,59.52
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,2.0,0.5,92.1
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,2.0,1.0,101.08
SURROGATE_NN_GA,SURROGATE_NN_GPU,RTX 4090,tight,2.0,2.0,119.03
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,0.5,0.5,45.58
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,0.5,1.0,50.51
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,0.5,2.0,60.39
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,1.0,0.5,91.15
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,1.0,1.0,101.03
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,1.0,2.0,120.78
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,2.0,0.5,182.31
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,2.0,1.0,202.06
SURROGATE_NN_GA,SURROGATE_NN_GPU,A100 40GB,tight,2.0,2.0,241.56
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,0.5,0.5,66.64
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,0.5,1.0,77.86
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,0.5,2.0,100.3
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,1.0,0.5,133.28
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,1.0,1.0,155.72
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,1.0,2.0,200.61
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,2.0,0.5,266.55
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,2.0,1.0,311.44
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,2.0,2.0,401.22
